id,kode_provinsi,nama_provinsi,nama_pos_hujan,nama_stasiun_hujan,bulan,jumlah_curah_hujan,satuan,tahun
183,32,JAWA BARAT,CIWULAN-CILAKI,PAMEUNGPEK,MARET,283.0,MILIMETER,2015
184,32,JAWA BARAT,CIWULAN-CILAKI,PAMEUNGPEK,APRIL,588.0,MILIMETER,2015
185,32,JAWA BARAT,CIWULAN-CILAKI,PAMEUNGPEK,MEI,355.0,MILIMETER,2015
186,32,JAWA BARAT,CIWULAN-CILAKI,PAMEUNGPEK,JUNI,60.0,MILIMETER,2015
187,32,JAWA BARAT,CIWULAN-CILAKI,PAMEUNGPEK,JULI,0.0,MILIMETER,2015
188,32,JAWA BARAT,CIWULAN-CILAKI,PAMEUNGPEK,AGUSTUS,0.0,MILIMETER,2015
189,32,JAWA BARAT,CIWULAN-CILAKI,PAMEUNGPEK,SEPTEMBER,0.0,MILIMETER,2015
190,32,JAWA BARAT,CIWULAN-CILAKI,PAMEUNGPEK,OKTOBER,0.0,MILIMETER,2015
191,32,JAWA BARAT,CIWULAN-CILAKI,PAMEUNGPEK,NOVEMBER,438.0,MILIMETER,2015
192,32,JAWA BARAT,CIWULAN-CILAKI,PAMEUNGPEK,DESEMBER,249.0,MILIMETER,2015
193,32,JAWA BARAT,CIWULAN-CILAKI,PARIGI,JANUARI,135.0,MILIMETER,2015
194,32,JAWA BARAT,CIWULAN-CILAKI,PARIGI,FEBRUARI,440.0,MILIMETER,2015
195,32,JAWA BARAT,CIWULAN-CILAKI,PARIGI,MARET,269.0,MILIMETER,2015
196,32,JAWA BARAT,CIWULAN-CILAKI,PARIGI,APRIL,128.0,MILIMETER,2015
197,32,JAWA BARAT,CIWULAN-CILAKI,PARIGI,MEI,123.0,MILIMETER,2015
198,32,JAWA BARAT,CIWULAN-CILAKI,PARIGI,JUNI,20.0,MILIMETER,2015
199,32,JAWA BARAT,CIWULAN-CILAKI,PARIGI,JULI,8.0,MILIMETER,2015
